Title: Population Distribution by Race/Ethnicity | The Henry J. Kaiser Family Foundation,,,,,,,,,
Timeframe: 2008,,,,,,,,,
Location,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes
United States,193573200,35033200,45753600,1919700,12947100,384400,5658400,295269800,1
Alabama,3108700,1169700,124800,22200,43900,N/A,56600,4526900,
Alaska,433100,18700,34600,86900,30400,5600,45300,654700,
Arizona,3704300,214500,1922100,261200,148600,6300,106000,6363000,
Arkansas,2096900,422400,152500,15900,29100,1800,51200,2769700,
California,15080500,2071300,13174300,150200,4396000,122600,887200,35882000,
Colorado,3422900,160700,967900,30400,126000,4500,104400,4816700,
Connecticut,2498400,298400,410400,6000,113300,N/A,56400,3383800,
Delaware,571900,168500,60800,2800,24200,N/A,16100,844200,
District of Columbia,176700,301800,48800,1700,17600,N/A,11600,558900,
Florida,10772300,2598100,3771200,35500,410100,6300,280600,17874300,
Georgia,5466500,2726500,761300,15000,267000,N/A,136800,9376400,
Hawaii,290100,23800,100400,1600,474400,104400,234400,1229000,
Idaho,1259500,8400,154600,13600,16200,N/A,30700,1484300,
Illinois,8094900,1775900,1931100,13500,549700,N/A,189600,12556000,
Indiana,5143900,515100,314100,12900,82900,N/A,101900,6172900,
Iowa,2609000,77500,118700,4300,43700,N/A,39000,2894000,
Kansas,2172500,140800,259600,15900,56000,N/A,55200,2701400,
Kentucky,3649900,296600,95900,5100,40600,N/A,54800,4143600,
Louisiana,2658000,1335400,146100,21300,62200,N/A,50200,4273800,
Maine,1215200,9700,12000,6100,9200,N/A,21500,1274100,
Maryland,3143000,1555700,365200,11400,276100,N/A,117700,5470000,
Massachusetts,4932400,350600,536700,9800,302800,N/A,132300,6265100,
Michigan,7594800,1317400,396100,45900,217500,2400,190400,9764400,
Minnesota,4326700,233700,212800,50000,176900,N/A,84100,5084500,
Mississippi,1661000,1054600,51400,11800,22400,N/A,25100,2826800,
Missouri,4729200,618900,175800,18100,80300,N/A,102300,5728200,
Montana,824400,2900,29600,58000,4800,N/A,18300,938500,
Nebraska,1442000,70500,143400,10100,30300,N/A,24400,1721000,
Nevada,1447500,181000,664100,28400,153500,10900,71400,2556800,
New Hampshire,1185300,8000,37700,N/A,26100,N/A,15600,1275300,
New Jersey,5240200,1085700,1399200,10200,633500,N/A,125100,8494600,
New Mexico,803100,36000,876200,162700,24700,N/A,30800,1934000,
New York,11360200,2748600,3154900,50500,1299800,6100,323800,18944000,
North Carolina,5975700,1853900,657500,87100,166600,2700,142700,8886300,
North Dakota,550200,4200,12600,33000,N/A,N/A,6900,610300,
Ohio,9210900,1276300,285400,19500,176500,N/A,188100,11157500,
Oklahoma,2507300,238200,267200,214200,59200,3.80E+03,219000,3508800,
Oregon,2963100,63000,408300,34800,124100,8400,110200,3711900,
Pennsylvania,9799700,1176300,566700,13100,286700,N/A,157100,12002700,
Rhode Island,793100,47200,115500,3200,29100,N/A,21000,1009400,
South Carolina,2819300,1205500,167900,9600,45400,N/A,69400,4318400,
South Dakota,662700,6700,21300,59300,5000,N/A,14900,769900,
Tennessee,4662800,970400,228400,13600,77300,N/A,89100,6045200,
Texas,11213000,2591500,8626100,68800,819300,16000,308200,23643000,
Utah,2202100,25800,317800,24900,51600,21500,43000,2686800,
Vermont,569600,3400,6200,N/A,N/A,N/A,13100,599100,
Virginia,4973600,1413300,504200,17700,361600,3900,144200,7418400,
Washington,4795600,204900,625000,79800,417500,23800,223900,6370500,
West Virginia,1654600,55000,20100,2400,8100,N/A,24700,1765200,
Wisconsin,4658700,295500,277500,37000,117700,N/A,80500,5467500,
Wyoming,446500,4500,41600,8900,2900,N/A,11700,516100,
Puerto Rico,27400,4400,3865800,N/A,N/A,N/A,N/A,3902000,
,,,,,,,,,
Notes,,,,,,,,,
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. ",,,,,,,,,
,,,,,,,,,
Population numbers are rounded to the nearest 100.,,,,,,,,,
,,,,,,,,,
Sources,,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018.",,,,,,,,,
,,,,,,,,,
Definitions,,,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,,
,,,,,,,,,
Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Footnotes,,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,,
